Formula,Band Gap,Is Gap Direct,B1_radius,B2_radius,A_electroneg,B1_row,B2_row,B2_ionic_radius,B1_electrons,B_electroneg_diff,B_radius_diff,tolerance_factor,octahedral_factor,X_is_Cl,X_is_Br,X_is_I,X_is_F,B1_B2_ionic_radius_diff,B2_X_ionic_radius_ratio,B1_X_electroneg_diff,B2_X_electroneg_diff,B1_B2_valence_electrons_diff,A_ionic_radius,lattice_constant,A_radius_ratio_in_cell,A_X_bond_length,B1_X_bond_length,B1_B2_charge_density_ratio,X_electron_affinity,B_electroneg_avg
Cs2AgBiCl6,1.8663,False,1.6,1.6,0.79,5,6.0,1.03,47.0,0.09,0.0,0.899732422,0.602209945,1,0,0,0,0.12,0.569060773,1.23,1.14,36,1.67,5.8,0.575862069,3.48,2.96,0.298550725,3.61272,1.975
Cs2NaCeCl6,0.3601,False,1.8,1.85,0.79,3,6.0,1.01,11.0,0.19,0.05,0.923619123,0.560773481,1,0,0,0,0.01,0.55801105,2.23,2.04,47,1.67,5.65,0.591150442,3.48,2.83,0.330065359,3.61272,1.025
Cs2KSmCl6,5.0573,True,2.2,1.85,0.79,4,6.0,0.958,19.0,0.35,0.35,0.875872448,0.645856354,1,0,0,0,0.422,0.529281768,2.34,1.99,43,1.67,5.958,0.560590802,3.48,3.19,0.231400966,3.61272,0.995
Cs2NaLaCl6,4.6183,True,1.8,1.95,0.79,3,6.0,1.032,11.0,0.17,0.15,0.920036679,0.566850829,1,0,0,0,0.012,0.570165746,2.23,2.06,46,1.67,5.672,0.588857546,3.48,2.83,0.337254902,3.61272,1.015
Cs2NaBiCl6,3.7126,False,1.8,1.6,0.79,3,6.0,1.03,11.0,1.09,0.2,0.920361207,0.566298343,1,0,0,0,0.01,0.569060773,2.23,1.14,72,1.67,5.67,0.589065256,3.48,2.83,0.336601307,3.61272,1.475
Cs2InAgCl6,1.3421,True,1.6,1.55,0.79,5,5.0,0.8,47.0,0.15,0.05,0.936884748,0.538674033,1,0,0,0,0.35,0.44198895,1.23,1.38,2,1.67,5.57,0.599640934,3.48,2.96,0.231884058,3.61272,1.855
Cs2NaDyCl6,4.9885,True,1.8,1.75,0.79,3,6.0,0.912,11.0,0.29,0.05,0.939922198,0.533701657,1,0,0,0,0.108,0.503867403,2.23,1.94,55,1.67,5.552,0.601585014,3.48,2.83,0.298039216,3.61272,1.075
Cs2LiMoCl6,1.5978,True,1.45,1.45,0.79,2,5.0,0.69,3.0,1.18,0.0,1.029279693,0.400552486,1,0,0,0,0.07,0.38121547,2.18,1.0,39,1.67,5.07,0.65877712,3.48,2.57,0.302631579,3.61272,1.57
Cs2NaScCl6,3.8894,False,1.8,1.6,0.79,3,4.0,0.745,11.0,0.43,0.2,0.969071132,0.487569061,1,0,0,0,0.275,0.41160221,2.23,1.8,10,1.67,5.385,0.620241411,3.48,2.83,0.243464052,3.61272,1.145
Cs2NaMoCl6,1.6371,True,1.8,1.45,0.79,3,5.0,0.69,11.0,1.23,0.35,0.979070928,0.472375691,1,0,0,0,0.33,0.38121547,2.23,1.0,31,1.67,5.33,0.626641651,3.48,2.83,0.225490196,3.61272,1.545
Cs2LiSbCl6,2.9508,False,1.45,1.45,0.79,2,5.0,0.76,3.0,1.07,0.0,1.015262266,0.419889503,1,0,0,0,0.0,0.419889503,2.18,1.11,48,1.67,5.14,0.649805447,3.48,2.57,0.333333333,3.61272,1.515
Cs2LiErCl6,5.1941,True,1.45,1.75,0.79,2,6.0,0.89,3.0,0.26,0.3,0.990217845,0.455801105,1,0,0,0,0.13,0.491712707,2.18,1.92,65,1.67,5.27,0.633776091,3.48,2.57,0.390350877,3.61272,1.11
Cs2TmCuCl6,2.4365,False,1.35,1.75,0.79,4,6.0,0.88,29.0,0.65,0.4,0.990217845,0.455801105,1,0,0,0,0.11,0.486187845,1.26,1.91,40,1.67,5.27,0.633776091,3.48,2.58,0.380952381,3.61272,1.575
Cs2SmCuCl6,2.57,False,1.35,1.85,0.79,4,6.0,0.958,29.0,0.73,0.5,0.975775625,0.477348066,1,0,0,0,0.188,0.529281768,1.26,1.99,33,1.67,5.348,0.624532536,3.48,2.58,0.414718615,3.61272,1.535
Cs2CuSbCl6,0.898,False,1.35,1.45,0.79,4,5.0,0.76,29.0,0.15,0.1,1.013290883,0.422651934,1,0,0,0,0.01,0.419889503,1.26,1.11,22,1.67,5.15,0.648543689,3.48,2.58,0.329004329,3.61272,1.975
Cs2PrCuCl6,2.3465,False,1.35,1.85,0.79,4,6.0,0.99,29.0,0.77,0.5,0.969971756,0.486187845,1,0,0,0,0.22,0.546961326,1.26,2.03,30,1.67,5.38,0.620817844,3.48,2.58,0.428571429,3.61272,1.515
Cs2CuBiCl6,1.1184,False,1.35,1.6,0.79,4,6.0,1.03,29.0,0.12,0.25,0.962813292,0.497237569,1,0,0,0,0.26,0.569060773,1.26,1.14,54,1.67,5.42,0.616236162,3.48,2.58,0.445887446,3.61272,1.96
Cs2RbTmCl6,5.0734,True,2.35,1.75,0.79,5,6.0,0.88,37.0,0.43,0.6,0.866851835,0.662983425,1,0,0,0,0.64,0.486187845,2.34,1.91,32,1.67,6.02,0.554817276,3.48,3.33,0.192982456,3.61272,1.035
Cs2NaPrCl6,4.9676,True,1.8,1.85,0.79,3,6.0,0.99,11.0,0.2,0.05,0.926900186,0.555248619,1,0,0,0,0.03,0.546961326,2.23,2.03,48,1.67,5.63,0.593250444,3.48,2.83,0.323529412,3.61272,1.03
Cs2NaNdCl6,4.9943,True,1.8,1.85,0.79,3,6.0,0.983,11.0,0.21,0.05,0.928054072,0.553314917,1,0,0,0,0.037,0.543093923,2.23,2.02,49,1.67,5.623,0.593988974,3.48,2.83,0.32124183,3.61272,1.035
Cs2NaLuCl6,5.494,True,1.8,1.75,0.79,3,6.0,0.861,11.0,0.34,0.05,0.948636256,0.51961326,1,0,0,0,0.159,0.475690608,2.23,1.89,60,1.67,5.501,0.607162334,3.48,2.83,0.281372549,3.61272,1.1
Cs2LiPrCl6,4.7971,True,1.45,1.85,0.79,2,6.0,0.99,3.0,0.15,0.4,0.971778034,0.483425414,1,0,0,0,0.23,0.546961326,2.18,2.03,56,1.67,5.37,0.621973929,3.48,2.57,0.434210526,3.61272,1.055
Cs2LiNdCl6,4.8227,True,1.45,1.85,0.79,2,6.0,0.983,3.0,0.16,0.4,0.973046438,0.481491713,1,0,0,0,0.223,0.543093923,2.18,2.02,57,1.67,5.363,0.622785754,3.48,2.57,0.431140351,3.61272,1.06
Cs2LiBiCl6,3.6075,False,1.45,1.6,0.79,2,6.0,1.03,3.0,1.04,0.15,0.964592984,0.494475138,1,0,0,0,0.27,0.569060773,2.18,1.14,80,1.67,5.41,0.617375231,3.48,2.57,0.451754386,3.61272,1.5
Cs2KSbCl6,3.393,True,2.2,1.45,0.79,4,5.0,0.76,19.0,1.23,0.75,0.905980563,0.591160221,1,0,0,0,0.62,0.419889503,2.34,1.11,32,1.67,5.76,0.579861111,3.48,3.19,0.183574879,3.61272,1.435
Cs2KMoCl6,1.666,True,2.2,1.45,0.79,4,5.0,0.69,19.0,1.34,0.75,0.917126194,0.571823204,1,0,0,0,0.69,0.38121547,2.34,1.0,23,1.67,5.69,0.586994728,3.48,3.19,0.166666667,3.61272,1.49
Cs2KBiCl6,4.0357,True,2.2,1.6,0.79,4,6.0,1.03,19.0,1.2,0.6,0.86541427,0.665745856,1,0,0,0,0.35,0.569060773,2.34,1.14,64,1.67,6.03,0.553897181,3.48,3.19,0.248792271,3.61272,1.42
Cs2ScTlCl6,3.5792,True,1.9,1.6,0.79,6,4.0,0.745,81.0,0.26,0.3,0.889760963,0.620165746,1,0,0,0,0.755,0.41160221,1.54,1.8,60,1.67,5.865,0.569479966,3.48,3.31,0.165555556,3.61272,1.49
Cs2TlGaCl6,2.6597,False,1.9,1.3,0.79,6,4.0,0.62,81.0,0.19,0.6,0.90913729,0.585635359,1,0,0,0,0.88,0.342541436,1.54,1.35,50,1.67,5.74,0.581881533,3.48,3.31,0.137777778,3.61272,1.715
Cs2TlSbCl6,2.0043,True,1.9,1.45,0.79,6,5.0,0.76,81.0,0.43,0.45,0.887491164,0.624309392,1,0,0,0,0.74,0.419889503,1.54,1.11,30,1.67,5.88,0.568027211,3.48,3.31,0.168888889,3.61272,1.835
Cs2RbTlCl6,2.4689,True,2.35,1.9,0.79,5,6.0,1.5,37.0,0.8,0.45,0.78591085,0.834254144,1,0,0,0,0.02,0.828729282,2.34,1.54,44,1.67,6.64,0.503012048,3.48,3.33,0.328947368,3.61272,1.22
Cs2RbAsCl6,3.4685,True,2.35,1.15,0.79,5,4.0,0.58,37.0,1.36,1.2,0.912316092,0.580110497,1,0,0,0,0.94,0.320441989,2.34,0.98,4,1.67,5.72,0.583916084,3.48,3.33,0.127192982,3.61272,1.5
Cs2YTlCl6,4.3248,True,1.9,1.8,0.79,6,5.0,0.9,81.0,0.4,0.1,0.866851835,0.662983425,1,0,0,0,0.6,0.497237569,1.54,1.94,42,1.67,6.02,0.554817276,3.48,3.31,0.2,3.61272,1.42
Cs2TlBiCl6,2.2018,True,1.9,1.6,0.79,6,6.0,1.03,81.0,0.4,0.3,0.848528137,0.698895028,1,0,0,0,0.47,0.569060773,1.54,1.14,2,1.67,6.15,0.543089431,3.48,3.31,0.228888889,3.61272,1.82
Cs2RbYCl6,4.9337,True,2.35,1.8,0.79,5,5.0,0.9,37.0,0.4,0.55,0.863981464,0.668508287,1,0,0,0,0.62,0.497237569,2.34,1.94,2,1.67,6.04,0.552980132,3.48,3.33,0.197368421,3.61272,1.02
Cs2RbTbCl6,4.9233,True,2.35,1.75,0.79,5,6.0,0.923,37.0,0.28,0.6,0.860703949,0.674861878,1,0,0,0,0.597,0.509944751,2.34,2.06,28,1.67,6.063,0.550882401,3.48,3.33,0.202412281,3.61272,0.96
Cs2RbSmCl6,4.8937,True,2.35,1.85,0.79,5,6.0,0.958,37.0,0.35,0.5,0.855763864,0.684530387,1,0,0,0,0.562,0.529281768,2.34,1.99,25,1.67,6.098,0.547720564,3.48,3.33,0.210087719,3.61272,0.995
Cs2RbScCl6,4.0707,False,2.35,1.6,0.79,5,4.0,0.745,37.0,0.54,0.75,0.886737136,0.625690608,1,0,0,0,0.775,0.41160221,2.34,1.8,16,1.67,5.885,0.567544605,3.48,3.33,0.163377193,3.61272,1.09
Cs2RbSbCl6,3.4707,True,2.35,1.45,0.79,5,5.0,0.76,37.0,1.23,0.9,0.88448272,0.629834254,1,0,0,0,0.76,0.419889503,2.34,1.11,14,1.67,5.9,0.566101695,3.48,3.33,0.166666667,3.61272,1.435
Cs2RbNdCl6,4.8574,True,2.35,1.85,0.79,5,6.0,0.983,37.0,0.32,0.5,0.85226981,0.691436464,1,0,0,0,0.537,0.543093923,2.34,2.02,23,1.67,6.123,0.54548424,3.48,3.33,0.215570175,3.61272,0.98
Cs2RbPrCl6,4.8296,True,2.35,1.85,0.79,5,6.0,0.99,37.0,0.31,0.5,0.851296582,0.693370166,1,0,0,0,0.53,0.546961326,2.34,2.03,22,1.67,6.13,0.544861338,3.48,3.33,0.217105263,3.61272,0.975
Cs2RbInCl6,3.6668,True,2.35,1.55,0.79,5,5.0,0.8,37.0,0.96,0.8,0.878526607,0.640883978,1,0,0,0,0.72,0.44198895,2.34,1.38,12,1.67,5.94,0.562289562,3.48,3.33,0.175438596,3.61272,1.3
Cs2RbLaCl6,4.4364,True,2.35,1.95,0.79,5,6.0,1.032,37.0,0.28,0.4,0.845503572,0.704972376,1,0,0,0,0.488,0.570165746,2.34,2.06,20,1.67,6.172,0.541153597,3.48,3.33,0.226315789,3.61272,0.96
Cs2RbErCl6,5.067,True,2.35,1.75,0.79,5,6.0,0.89,37.0,0.42,0.6,0.86541427,0.665745856,1,0,0,0,0.63,0.491712707,2.34,1.92,31,1.67,6.03,0.553897181,3.48,3.33,0.195175439,3.61272,1.03
Cs2RbBiCl6,4.1316,True,2.35,1.6,0.79,5,6.0,1.03,37.0,1.2,0.75,0.845777641,0.70441989,1,0,0,0,0.49,0.569060773,2.34,1.14,46,1.67,6.17,0.541329011,3.48,3.33,0.225877193,3.61272,1.42
Cs2RbDyCl6,5.0592,True,2.35,1.75,0.79,5,6.0,0.912,37.0,0.4,0.6,0.862268349,0.671823204,1,0,0,0,0.608,0.503867403,2.34,1.94,29,1.67,6.052,0.551883675,3.48,3.33,0.2,3.61272,1.02
Cs2YAgCl6,3.8705,False,1.6,1.8,0.79,5,5.0,0.9,47.0,0.71,0.2,0.920361207,0.566298343,1,0,0,0,0.25,0.497237569,1.23,1.94,8,1.67,5.67,0.589065256,3.48,2.96,0.260869565,3.61272,1.575
Cs2TlInCl6,2.7015,False,1.9,1.55,0.79,6,5.0,0.8,81.0,0.16,0.35,0.881494602,0.635359116,1,0,0,0,0.7,0.44198895,1.54,1.38,32,1.67,5.92,0.564189189,3.48,3.31,0.177777778,3.61272,1.7
Cs2TlAsCl6,2.0627,True,1.9,1.15,0.79,6,4.0,0.58,81.0,0.56,0.75,0.915517201,0.574585635,1,0,0,0,0.92,0.320441989,1.54,0.98,48,1.67,5.7,0.585964912,3.48,3.31,0.128888889,3.61272,1.9
Cs2AlTlCl6,3.9209,False,1.9,1.25,0.79,6,3.0,0.535,81.0,0.01,0.65,0.922802484,0.562154696,1,0,0,0,0.965,0.29558011,1.54,1.55,68,1.67,5.655,0.590627763,3.48,3.31,0.118888889,3.61272,1.615
Cs2RbLuCl6,5.0606,False,2.35,1.75,0.79,5,6.0,0.861,37.0,0.45,0.6,0.869596408,0.657734807,1,0,0,0,0.659,0.475690608,2.34,1.89,34,1.67,6.001,0.556573904,3.48,3.33,0.188815789,3.61272,1.045
Cs2RbGdCl6,3.2357,True,2.35,1.8,0.79,5,6.0,0.938,37.0,0.38,0.55,0.858579803,0.679005525,1,0,0,0,0.582,0.518232044,2.34,1.96,27,1.67,6.078,0.549522869,3.48,3.33,0.205701754,3.61272,1.01
Cs2RbGaCl6,3.4534,True,2.35,1.3,0.79,5,4.0,0.62,37.0,0.99,1.05,0.905980563,0.591160221,1,0,0,0,0.9,0.342541436,2.34,1.35,6,1.67,5.76,0.579861111,3.48,3.33,0.135964912,3.61272,1.315
Cs2RbEuCl6,0.0,False,2.35,1.85,0.79,5,6.0,0.947,37.0,0.38,0.5,0.857310341,0.681491713,1,0,0,0,0.573,0.52320442,2.34,1.96,26,1.67,6.087,0.548710366,3.48,3.33,0.207675439,3.61272,1.01
Cs2RbCeCl6,4.1198,False,2.35,1.85,0.79,5,6.0,1.01,37.0,0.3,0.5,0.848528137,0.698895028,1,0,0,0,0.51,0.55801105,2.34,2.04,21,1.67,6.15,0.543089431,3.48,3.33,0.221491228,3.61272,0.97
Cs2RbAuCl6,0.1911,False,2.35,1.35,0.79,5,6.0,0.85,37.0,1.72,1.0,0.87119333,0.654696133,1,0,0,0,0.67,0.46961326,2.34,0.62,42,1.67,5.99,0.557595993,3.48,3.33,0.186403509,3.61272,1.68
Cs2RbAlCl6,4.6551,True,2.35,1.25,0.79,5,3.0,0.535,37.0,0.79,1.1,0.919550316,0.567679558,1,0,0,0,0.985,0.29558011,2.34,1.55,24,1.67,5.675,0.588546256,3.48,3.33,0.117324561,3.61272,1.215
Cs2NaTlCl6,1.9178,True,1.8,1.9,0.79,3,6.0,1.5,11.0,0.69,0.1,0.849910105,0.696132597,1,0,0,0,0.48,0.828729282,2.23,1.54,70,1.67,6.14,0.543973941,3.48,2.83,0.490196078,3.61272,1.275
Cs2NaTmCl6,5.4487,True,1.8,1.75,0.79,3,6.0,0.88,11.0,0.32,0.05,0.945371023,0.524861878,1,0,0,0,0.14,0.486187845,2.23,1.91,58,1.67,5.52,0.605072464,3.48,2.83,0.287581699,3.61272,1.09
Cs2InCuCl6,0.0,False,1.35,1.55,0.79,4,5.0,0.8,29.0,0.12,0.2,1.005481319,0.433701657,1,0,0,0,0.03,0.44198895,1.26,1.38,20,1.67,5.19,0.643545279,3.48,2.58,0.346320346,3.61272,1.84
Cs2CuAsCl6,0.8647,False,1.35,1.15,0.79,4,4.0,0.58,29.0,0.28,0.2,1.049989546,0.372928177,1,0,0,0,0.19,0.320441989,1.26,0.98,4,1.67,4.97,0.672032193,3.48,2.58,0.251082251,3.61272,2.04
Cs2AlHgCl6,0.0,False,1.5,1.25,0.79,6,3.0,0.535,80.0,0.39,0.25,0.993044347,0.451657459,1,0,0,0,0.565,0.29558011,1.16,1.55,67,1.67,5.255,0.635585157,3.48,2.91,0.162121212,3.61272,1.805
Cs2AsAuCl6,0.3048,False,1.35,1.15,0.79,6,4.0,0.58,79.0,0.36,0.2,1.033356049,0.395027624,1,0,0,0,0.27,0.320441989,0.62,0.98,46,1.67,5.05,0.661386139,3.48,2.66,0.22745098,3.61272,2.36
Cs2InAuCl6,0.0,False,1.55,1.35,0.79,6,0.85,79.0,0.8,0.76,0.2,0.990217845,0.455801105,1,0,0,0,0.05,0.62,0.44198895,2.66,30,1.67,5.27,0.633776091,3.48,1.38,0.31372549,3.61272,2.16
Cs2ScAgCl6,3.3916,False,1.6,1.6,0.79,5,4.0,0.745,47.0,0.57,0.0,0.946228113,0.523480663,1,0,0,0,0.405,0.41160221,1.23,1.8,26,1.67,5.515,0.605621034,3.48,2.96,0.215942029,3.61272,1.645
Cs2LiGdCl6,2.782,True,1.45,1.8,0.79,2,6.0,0.938,3.0,0.22,0.35,0.981280189,0.469060773,1,0,0,0,0.178,0.518232044,2.18,1.96,61,1.67,5.318,0.62805566,3.48,2.57,0.411403509,3.61272,1.09
Cs2KAsCl6,3.4599,True,2.2,1.15,0.79,4,4.0,0.58,19.0,1.36,1.05,0.935205743,0.541436464,1,0,0,0,0.8,0.320441989,2.34,0.98,14,1.67,5.58,0.598566308,3.48,3.19,0.140096618,3.61272,1.5
Cs2KAuCl6,0.2103,False,2.2,1.35,0.79,4,6.0,0.85,19.0,1.72,0.85,0.892042401,0.616022099,1,0,0,0,0.53,0.46961326,2.34,0.62,60,1.67,5.85,0.570940171,3.48,3.19,0.20531401,3.61272,1.68
Cs2YInCl6,3.496,True,1.55,1.8,0.79,5,5.0,0.9,49.0,0.56,0.25,0.980911287,0.46961326,1,0,0,0,0.1,0.497237569,1.38,1.94,10,1.67,5.32,0.627819549,3.48,2.61,0.375,3.61272,1.5
Cs2GdAuCl6,1.5111,False,1.35,1.8,0.79,6,6.0,0.938,79.0,1.34,0.45,0.964949712,0.493922652,1,0,0,0,0.088,0.518232044,0.62,1.96,15,1.67,5.408,0.61760355,3.48,2.66,0.367843137,3.61272,1.87
Cs2NaGdCl6,3.0186,True,1.8,1.8,0.79,3,6.0,0.938,11.0,0.27,0.0,0.935541062,0.540883978,1,0,0,0,0.082,0.518232044,2.23,1.96,53,1.67,5.578,0.598780925,3.48,2.83,0.306535948,3.61272,1.065
Cs2LiTbCl6,5.0434,True,1.45,1.75,0.79,2,6.0,0.923,3.0,0.12,0.3,0.984055826,0.464917127,1,0,0,0,0.163,0.509944751,2.18,2.06,62,1.67,5.303,0.62983217,3.48,2.57,0.404824561,3.61272,1.04
Cs2LiSmCl6,4.9508,True,1.45,1.85,0.79,2,6.0,0.958,3.0,0.19,0.4,0.977603605,0.474585635,1,0,0,0,0.198,0.529281768,2.18,1.99,59,1.67,5.338,0.62570251,3.48,2.57,0.420175439,3.61272,1.075
Cs2LiLaCl6,4.4927,True,1.45,1.95,0.79,2,6.0,1.032,3.0,0.12,0.5,0.96423652,0.495027624,1,0,0,0,0.272,0.570165746,2.18,2.06,54,1.67,5.412,0.617147081,3.48,2.57,0.452631579,3.61272,1.04
Cs2KYCl6,5.1935,True,2.2,1.8,0.79,4,5.0,0.9,19.0,0.4,0.4,0.88448272,0.629834254,1,0,0,0,0.48,0.497237569,2.34,1.94,20,1.67,5.9,0.566101695,3.48,3.19,0.217391304,3.61272,1.02
Cs2KPrCl6,4.9664,True,2.2,1.85,0.79,4,6.0,0.99,19.0,0.31,0.35,0.87119333,0.654696133,1,0,0,0,0.39,0.546961326,2.34,2.03,40,1.67,5.99,0.557595993,3.48,3.19,0.239130435,3.61272,0.975
Cs2KNdCl6,5.1287,True,2.2,1.85,0.79,4,6.0,0.983,19.0,0.32,0.35,0.87221261,0.652762431,1,0,0,0,0.397,0.543093923,2.34,2.02,41,1.67,5.983,0.55824837,3.48,3.19,0.237439614,3.61272,0.98
Cs2KInCl6,3.5784,True,2.2,1.55,0.79,4,5.0,0.8,19.0,0.96,0.65,0.899732422,0.602209945,1,0,0,0,0.58,0.44198895,2.34,1.38,30,1.67,5.8,0.575862069,3.48,3.19,0.193236715,3.61272,1.3
Cs2KLuCl6,5.2423,True,2.2,1.75,0.79,4,6.0,0.861,19.0,0.45,0.45,0.890368204,0.619060773,1,0,0,0,0.519,0.475690608,2.34,1.89,52,1.67,5.861,0.569868623,3.48,3.19,0.207971014,3.61272,1.045
Cs2KDyCl6,5.1988,True,2.2,1.75,0.79,4,6.0,0.912,19.0,0.4,0.45,0.882687423,0.633149171,1,0,0,0,0.468,0.503867403,2.34,1.94,47,1.67,5.912,0.564952639,3.48,3.19,0.220289855,3.61272,1.02
Cs2KCeCl6,4.0361,False,2.2,1.85,0.79,4,6.0,1.01,19.0,0.3,0.35,0.868294184,0.660220994,1,0,0,0,0.37,0.55801105,2.34,2.04,39,1.67,6.01,0.555740433,3.48,3.19,0.243961353,3.61272,0.97
Cs2InSbCl6,1.3727,True,1.55,1.45,0.79,5,0.76,51.0,0.8,0.27,0.1,1.007422403,0.430939227,1,0,0,0,0.04,1.11,0.44198895,2.57,2,1.67,5.18,0.644787645,3.48,1.38,0.350877193,3.61272,1.915
Cs2InBiCl6,1.7612,True,1.55,1.6,0.79,6,1.03,83.0,0.8,0.24,0.05,0.957513403,0.505524862,1,0,0,0,0.23,1.14,0.44198895,2.84,34,1.67,5.45,0.612844037,3.48,1.38,0.258899676,3.61272,1.9
Cs2InAsCl6,1.3524,False,1.55,1.15,0.79,4,0.58,33.0,0.8,0.4,0.4,1.043689609,0.38121547,1,0,0,0,0.22,0.98,0.44198895,2.39,16,1.67,5.0,0.668,3.48,1.38,0.459770115,3.61272,1.98
Cs2YHgCl6,0.0,False,1.5,1.8,0.79,6,5.0,0.9,80.0,0.78,0.3,0.928549474,0.552486188,1,0,0,0,0.2,0.497237569,1.16,1.94,41,1.67,5.62,0.59430605,3.48,2.91,0.272727273,3.61272,1.61
Cs2HgSbCl6,0.0,False,1.5,1.45,0.79,6,5.0,0.76,80.0,0.05,0.05,0.952271541,0.513812155,1,0,0,0,0.34,0.419889503,1.16,1.11,29,1.67,5.48,0.609489051,3.48,2.91,0.23030303,3.61272,2.025
Cs2InHgCl6,0.0,False,1.5,1.55,0.79,6,5.0,0.8,80.0,0.22,0.05,0.945371023,0.524861878,1,0,0,0,0.3,0.44198895,1.16,1.38,31,1.67,5.52,0.605072464,3.48,2.91,0.242424242,3.61272,1.89
Cs2HgBiCl6,0.0,False,1.5,1.6,0.79,6,6.0,1.03,80.0,0.02,0.1,0.907556182,0.58839779,1,0,0,0,0.07,0.569060773,1.16,1.14,3,1.67,5.75,0.580869565,3.48,2.91,0.312121212,3.61272,2.01
Cs2HgAsCl6,0.0,False,1.5,1.15,0.79,6,4.0,0.58,80.0,0.18,0.35,0.984612839,0.464088398,1,0,0,0,0.52,0.320441989,1.16,0.98,47,1.67,5.3,0.630188679,3.48,2.91,0.175757576,3.61272,2.09
Cs2YCuCl6,2.5338,False,1.35,1.8,0.79,4,5.0,0.9,29.0,0.68,0.45,0.986474111,0.461325967,1,0,0,0,0.13,0.497237569,1.26,1.94,10,1.67,5.29,0.631379962,3.48,2.58,0.38961039,3.61272,1.56
Cs2ErCuCl6,2.0815,False,1.35,1.75,0.79,4,6.0,0.89,29.0,0.66,0.4,0.988342433,0.458563536,1,0,0,0,0.12,0.491712707,1.26,1.92,39,1.67,5.28,0.632575758,3.48,2.58,0.385281385,3.61272,1.57
Cs2YAuCl6,2.2263,False,1.35,1.8,0.79,6,5.0,0.9,79.0,1.32,0.45,0.971778034,0.483425414,1,0,0,0,0.05,0.497237569,0.62,1.94,40,1.67,5.37,0.621973929,3.48,2.66,0.352941176,3.61272,1.88
Cs2TbAuCl6,2.181,False,1.35,1.75,0.79,6,6.0,0.923,79.0,1.44,0.4,0.967633607,0.489779006,1,0,0,0,0.073,0.509944751,0.62,2.06,14,1.67,5.393,0.619321342,3.48,2.66,0.361960784,3.61272,1.82
Cs2SbAuCl6,0.4039,False,1.35,1.45,0.79,6,5.0,0.76,79.0,0.49,0.1,0.997791213,0.444751381,1,0,0,0,0.09,0.419889503,0.62,1.11,28,1.67,5.23,0.638623327,3.48,2.66,0.298039216,3.61272,2.295
Cs2DyAuCl6,2.1667,False,1.35,1.75,0.79,6,6.0,0.912,79.0,1.32,0.4,0.969611305,0.486740331,1,0,0,0,0.062,0.503867403,0.62,1.94,13,1.67,5.382,0.620587142,3.48,2.66,0.357647059,3.61272,1.88
Cs2ErAuCl6,2.0871,False,1.35,1.75,0.79,6,6.0,0.89,79.0,1.3,0.4,0.973591053,0.480662983,1,0,0,0,0.04,0.491712707,0.62,1.92,11,1.67,5.36,0.623134328,3.48,2.66,0.349019608,3.61272,1.89
Cs2AgSbCl6,1.6624,False,1.6,1.45,0.79,5,5.0,0.76,47.0,0.12,0.15,0.943661491,0.527624309,1,0,0,0,0.39,0.419889503,1.23,1.11,4,1.67,5.53,0.6039783,3.48,2.96,0.220289855,3.61272,1.99
Cs2NdAgCl6,3.8207,False,1.6,1.85,0.79,5,6.0,0.983,47.0,0.79,0.25,0.907082921,0.589226519,1,0,0,0,0.167,0.543093923,1.23,2.02,13,1.67,5.753,0.580566661,3.48,2.96,0.284927536,3.61272,1.535
Cs2DyCuCl6,2.2443,False,1.35,1.75,0.79,4,6.0,0.912,29.0,0.68,0.4,0.984241427,0.464640884,1,0,0,0,0.142,0.503867403,1.26,1.94,37,1.67,5.302,0.629950962,3.48,2.58,0.394805195,3.61272,1.56
Cs2NaGaCl6,2.8347,True,1.8,1.3,0.79,3,4.0,0.62,11.0,0.88,0.5,0.992100389,0.453038674,1,0,0,0,0.4,0.342541436,2.23,1.35,20,1.67,5.26,0.634980989,3.48,2.83,0.202614379,3.61272,1.37
Cs2NaEuCl6,0.0,False,1.8,1.85,0.79,3,6.0,0.947,11.0,0.27,0.05,0.934034016,0.543370166,1,0,0,0,0.073,0.52320442,2.23,1.96,52,1.67,5.587,0.597816359,3.48,2.83,0.309477124,3.61272,1.065
Cs2NaAuCl6,0.0,False,1.8,1.35,0.79,3,6.0,0.85,11.0,1.61,0.45,0.950536985,0.516574586,1,0,0,0,0.17,0.46961326,2.23,0.62,68,1.67,5.49,0.608378871,3.48,2.83,0.277777778,3.61272,1.735
Cs2NaAlCl6,4.1213,True,1.8,1.25,0.79,3,3.0,0.535,11.0,0.68,0.55,1.008395758,0.429558011,1,0,0,0,0.485,0.29558011,2.23,1.55,2,1.67,5.175,0.645410628,3.48,2.83,0.174836601,3.61272,1.27
Cs2LiTmCl6,5.2527,True,1.45,1.75,0.79,2,6.0,0.88,3.0,0.27,0.3,0.992100389,0.453038674,1,0,0,0,0.12,0.486187845,2.18,1.91,66,1.67,5.26,0.634980989,3.48,2.57,0.385964912,3.61272,1.115
Cs2LiTlCl6,1.5236,True,1.45,1.9,0.79,2,6.0,1.5,3.0,0.64,0.45,0.887491164,0.624309392,1,0,0,0,0.74,0.828729282,2.18,1.54,78,1.67,5.88,0.568027211,3.48,2.57,0.657894737,3.61272,1.3
Cs2LiScCl6,3.7738,False,1.45,1.6,0.79,2,4.0,0.745,3.0,0.38,0.15,1.018233765,0.415745856,1,0,0,0,0.015,0.41160221,2.18,1.8,18,1.67,5.125,0.651707317,3.48,2.57,0.326754386,3.61272,1.17
